pair,WGSID,Type,file_accession_id
MELA_0608,64e5e361-be03-4551-bdd7-df0a8cd5c7dd,normal,EGAF00002438797
MELA_0357,610d1028-ac19-4158-8874-d99399c33e2d,normal,EGAF00002438766
MELA_0359,44c743ee-0406-44a0-9647-b613f4b86d11,normal,EGAF00002438851
MELA_0398,3a1b5717-7c37-495c-8a12-2a7704a45e0d,normal,EGAF00002438693
MELA_0360,d25dfba9-2f7c-4ac0-a543-1d0812ba7e87,normal,EGAF00002438853
MELA_0361,523f46e5-4eed-4e64-b8fa-3f1dc30547f7,normal,EGAF00002438721
MELA_0363,e43d7a8f-be48-4ad5-bfc3-6000bf7f192a,normal,EGAF00002438786
MELA_0407,481ba960-e5b8-4cf0-af62-18da325ef8fc,normal,EGAF00002438803
MELA_0365,4d016ba8-494d-4031-bbef-1e23cebf32cf,normal,EGAF00002438890
MELA_0366,b9be6599-f876-418f-8674-80ec18e87a65,normal,EGAF00002438832
MELA_0367,4565b96c-5554-48fc-8406-06d41cbc572b,normal,EGAF00002438824
MELA_0368,4cd322af-0784-4b7f-be93-033e5ee53680,normal,EGAF00002438734
MELA_0369,e67de8cf-38d0-4565-8fb3-e4c8b86a1eef,normal,EGAF00002438862
MELA_0372,1a1257dc-ac28-4df9-896f-fe9f2ae6b4cc,normal,EGAF00002438802
MELA_0373,3fffd3c4-b59a-4952-ae74-9f7cc7006ca3,normal,EGAF00002438772
MELA_0413,32a30e52-eab3-4609-8358-171c0facae0b,normal,EGAF00002438863
MELA_0415,8b87d983-699a-431d-8433-4113f159a99b,normal,EGAF00002438830
MELA_0374,38f1a323-a77e-4da1-8124-e1d58791c333,normal,EGAF00002438743
MELA_0255,dfd82305-c36d-47c8-a8bd-c9ea4a4703e0,normal,EGAF00002438849
MELA_0418,f8a1b95a-af54-4bdd-aa66-3d57526c8af4,normal,EGAF00002438895
MELA_0376,1d5d335b-965d-47a3-a88f-4085ff37796d,normal,EGAF00002438746
MELA_0377,550ff823-e4c3-481b-84f9-16bf7f3d9637,normal,EGAF00002438764
MELA_0562,95e6f5db-03af-4233-a615-509f57c1cd61,normal,EGAF00002438722
MELA_0378,ae775239-433c-433e-99b3-8bb830d1cff1,normal,EGAF00002438839
MELA_0421,d42c0acc-1b8a-4268-8aa3-40db327c4a2a,normal,EGAF00002438880
MELA_0379,e8e8b876-01c0-45dd-aba9-d7b78c9a1d40,normal,EGAF00002438821
MELA_0380,fe4a21b0-2c1a-434e-82fe-5f9a81433183,normal,EGAF00002438711
MELA_0381,c875e29b-090c-4321-9406-6dc8f52c8343,normal,EGAF00002438724
MELA_0425,dd487875-bb4c-4443-9611-b07cb46164ea,normal,EGAF00002438881
MELA_0382,6ae0c01b-ef59-4eb8-b2fa-6e1374f0aea1,normal,EGAF00002438825
MELA_0552,18824b91-5f25-4776-adcb-05fd2bfaa428,normal,EGAF00002438799
MELA_0430,efc202f4-3c33-45be-8eb4-18047ebd4783,normal,EGAF00002438879
MELA_0386,121e98ab-5064-4dbc-9a5a-f1d00ccaf72e,normal,EGAF00002438866
MELA_0388,26bb595b-1498-4642-ba0c-8fd5a354c4f8,normal,EGAF00002438785
MELA_0433,8d3ed75e-2dd4-4276-9a30-350b52f7d9c1,normal,EGAF00002438752
MELA_0389,71b6d2da-bb05-4fca-ba1f-a70618735710,normal,EGAF00002438800
MELA_0436,6a77b576-cbff-475e-a4d3-540971229d45,normal,EGAF00002438744
MELA_0390,dd625894-d1e3-4938-8d92-3a9f57c23e08,normal,EGAF00002438820
MELA_0391,91753999-078e-4467-80d4-023abbb44391,normal,EGAF00002438755
MELA_0440,68f5316a-ee9d-48f6-9556-5a3b16445063,normal,EGAF00002438784
MELA_0441,ccfd8bb6-f850-400d-9f18-eb0a73255540,normal,EGAF00002438889
MELA_0443,b75e458f-f61b-4f9c-804b-dea8e3e6adbc,normal,EGAF00002438854
MELA_0444,b05b0b3c-2342-4ed5-b842-2cea3f722041,normal,EGAF00002438864
MELA_0445,d56cc1d4-7ff0-4036-bfd7-5933e70ffef7,normal,EGAF00002438884
MELA_0446,179936ec-9f8a-4d3c-9ce1-79c4a41df78a,normal,EGAF00002438801
MELA_0447,d6ebaad6-5afb-472f-878e-e1a60488c1eb,normal,EGAF00002438894
MELA_0455,82cd4e49-e751-400b-95eb-4e4015aeac83,normal,EGAF00002438775
MELA_0458,f642d948-c041-4b84-bc84-2268fbec6981,normal,EGAF00002438773
MELA_0395,a9ff50f2-c358-4895-a1ef-b8d600ec71fb,normal,EGAF00002438762
MELA_0469,203e4ab8-6c2f-4f44-a333-8629911b10d2,normal,EGAF00002438753
MELA_0472,1d08e6db-c6f1-4b79-a267-8adbfb52acaf,normal,EGAF00002438761
MELA_0228,97d8ac31-761e-47e6-be40-b261ff22de23,normal,EGAF00002438838
MELA_0383,1c39629e-df75-4ec6-8c3e-bae8b89007f5,normal,EGAF00002438819
MELA_0608,28e551cf-3e98-45e7-b272-bc29c4421b58,cancer,EGAF00002438798
MELA_0357,0f2a2dde-6ce9-4165-b325-584de6bfaa70,cancer,EGAF00002438899
MELA_0359,4dc5bee0-c67e-418c-a486-61e6fab01aab,cancer,EGAF00002438787
MELA_0398,db5095b6-21e5-4ce6-ae71-b0ec3f7c730e,cancer,EGAF00002438789
MELA_0360,779d7a5d-50bd-4208-b5be-06b348d52658,cancer,EGAF00002438700
MELA_0361,b07f661e-2d0c-4c80-a94a-dea7764bf1a7,cancer,EGAF00002438900
MELA_0363,7ba9a55e-7afd-43fa-9608-a699fdccc577,cancer,EGAF00002438706
MELA_0407,295fd240-86b8-4cc8-b377-e6471aed759a,cancer,EGAF00002438730
MELA_0365,dc7a238e-b397-4422-b825-e720484fb1f6,cancer,EGAF00002438731
MELA_0366,ead46fee-5206-4559-a0ae-b78fa026d4c9,cancer,EGAF00002438891
MELA_0367,daccc4d5-4ddf-40f0-bf6c-77755e8ed8d1,cancer,EGAF00002438698
MELA_0368,5efdc40e-4dd6-487d-85f4-79724db93887,cancer,EGAF00002438696
MELA_0369,c247654e-dc02-437f-8dc3-96e3b546b5b1,cancer,EGAF00002438882
MELA_0372,ad55cf0e-f189-4c05-bd30-76c5670f48a8,cancer,EGAF00002438729
MELA_0373,6184d412-bd69-4adc-b6de-9a987fd72fd2,cancer,EGAF00002438707
MELA_0413,bfc8bfab-fd4c-4916-8590-172f307e48e0,cancer,EGAF00002438695
MELA_0415,a6a76311-e529-4cbf-84bf-bbcd01356a13,cancer,EGAF00002438692
MELA_0374,a01c0f7f-30c9-4390-8abf-9cfcf0b4c87a,cancer,EGAF00002438757
MELA_0255,b8e74e62-f237-42fe-a647-4852638940ea,cancer,EGAF00002438790
MELA_0418,423c41f8-6f24-463d-8a8d-e849de4f19de,cancer,EGAF00002438715
MELA_0376,a5249137-70a4-4395-bb44-46da308104b2,cancer,EGAF00002438714
MELA_0377,1c2c42f7-1904-4f5f-b4e2-57378b8d38df,cancer,EGAF00002438750
MELA_0562,b5ae36ab-159b-4abb-a2ee-6bd109a884cc,cancer,EGAF00002438788
MELA_0378,1d8c39a0-8588-449d-8dfe-de18a4df987a,cancer,EGAF00002438699
MELA_0421,001c90f1-ab3e-405f-a489-bf2680c3bb7b,cancer,EGAF00002438697
