,geneLength,gcContent
ENSG00000000003,4535,0.399558985667034
ENSG00000000005,1610,0.424844720496894
ENSG00000000419,1207,0.415907207953604
ENSG00000000457,6883,0.41173906726718
ENSG00000000460,5967,0.429864253393665
ENSG00000000938,3474,0.573402417962003
ENSG00000000971,8145,0.361448741559239
ENSG00000001036,2793,0.429645542427497
ENSG00000001084,8463,0.39454094292804
ENSG00000001167,3811,0.450013119916033
ENSG00000001460,8511,0.484431911643755
ENSG00000001461,9404,0.469162058698426
ENSG00000001497,5589,0.51207729468599
ENSG00000001561,4651,0.344442055471942
ENSG00000001617,4826,0.628056361375881
ENSG00000001626,8517,0.41364330163203
ENSG00000001629,7130,0.409396914446003
ENSG00000001630,4074,0.394207167403044
ENSG00000001631,6204,0.377176015473888
ENSG00000002016,4190,0.414558472553699
ENSG00000002330,1708,0.599531615925059
ENSG00000002549,3785,0.449405548216645
ENSG00000002586,3284,0.517661388550548
ENSG00000002587,8166,0.481263776634827
ENSG00000002726,3824,0.586558577405858
ENSG00000002745,3261,0.418889911070224
ENSG00000002746,13965,0.477837450769782
ENSG00000002822,7230,0.558091286307054
ENSG00000002834,7061,0.573573148279281
ENSG00000002919,3606,0.507487520798669
ENSG00000002933,3479,0.576027594136246
ENSG00000003056,3777,0.461477362986497
ENSG00000003096,6983,0.429041959043391
ENSG00000003137,5015,0.59740777666999
ENSG00000003147,4891,0.460028624003271
ENSG00000003249,4791,0.591734502191609
ENSG00000003393,10384,0.395030816640986
ENSG00000003400,7598,0.462226901816267
ENSG00000003402,22529,0.460073682808824
ENSG00000003436,11714,0.416851630527574
ENSG00000003509,3651,0.422076143522323
ENSG00000003756,10368,0.439621913580247
ENSG00000003987,5692,0.424279690794097
ENSG00000003989,7905,0.416192283364959
ENSG00000004059,1871,0.599679315873864
ENSG00000004139,11137,0.555625392834695
ENSG00000004142,2121,0.529467232437529
ENSG00000004399,9738,0.603101252823989
ENSG00000004455,5727,0.470752575519469
ENSG00000004468,6855,0.425674690007294
ENSG00000004478,5180,0.525868725868726
ENSG00000004487,5435,0.466421343146274
ENSG00000004534,7302,0.469597370583402
ENSG00000004660,7424,0.576239224137931
ENSG00000004700,3778,0.411593435680254
ENSG00000004766,9454,0.355299344192934
ENSG00000004776,1722,0.626596980255517
ENSG00000004777,5260,0.646768060836502
ENSG00000004779,1600,0.50375
ENSG00000004799,4519,0.373091391900863
ENSG00000004809,3907,0.444842590222677
ENSG00000004838,4009,0.581940633574457
ENSG00000004846,9257,0.408015555795614
ENSG00000004848,3097,0.553761704875686
ENSG00000004864,3710,0.454177897574124
ENSG00000004866,6742,0.450756452091368
ENSG00000004897,6824,0.390093786635404
ENSG00000004939,5287,0.562322678267448
ENSG00000004948,4042,0.376546264225631
ENSG00000004961,2335,0.427408993576017
ENSG00000004975,5350,0.538691588785047
ENSG00000005001,2387,0.592375366568915
ENSG00000005007,8600,0.596162790697674
ENSG00000005020,5520,0.406340579710145
ENSG00000005022,1500,0.498
ENSG00000005059,3566,0.39736399326977
ENSG00000005073,2307,0.538361508452536
ENSG00000005075,1355,0.552029520295203
ENSG00000005100,5872,0.480756130790191
ENSG00000005102,2707,0.528998891762098
ENSG00000005108,10929,0.372586695946564
ENSG00000005156,12919,0.498955027478907
ENSG00000005175,5381,0.41795205352165
ENSG00000005187,7822,0.422654052671951
ENSG00000005194,3509,0.456255343402679
ENSG00000005206,7130,0.640813464235624
ENSG00000005238,6409,0.549383679201123
ENSG00000005243,1851,0.548352242031334
ENSG00000005249,4318,0.400416859657249
ENSG00000005302,6496,0.436114532019704
ENSG00000005339,15492,0.465853343661245
ENSG00000005379,11354,0.588867359520874
ENSG00000005381,3526,0.568633011911514
ENSG00000005421,2832,0.437853107344633
ENSG00000005436,5465,0.373650503202196
ENSG00000005448,2860,0.563986013986014
ENSG00000005469,4979,0.366740309299056
ENSG00000005471,7494,0.400320256204964
ENSG00000005483,9231,0.411114722131947
ENSG00000005486,2441,0.577632117984433
ENSG00000005513,4432,0.649593862815884
ENSG00000005700,8722,0.371130474661775
ENSG00000005801,5709,0.444736381152566
ENSG00000005810,15945,0.364063969896519
ENSG00000005812,7082,0.392544478960746
ENSG00000005844,6472,0.55655129789864
ENSG00000005882,5481,0.58128078817734
ENSG00000005884,9802,0.574372577025097
ENSG00000005889,9037,0.421268119951311
ENSG00000005893,5526,0.414042707202316
ENSG00000005961,5551,0.541524049720771
ENSG00000005981,4605,0.41672095548317
ENSG00000006007,4416,0.454030797101449
ENSG00000006015,3370,0.596439169139466
ENSG00000006016,3018,0.519880715705765
ENSG00000006025,6572,0.587644552647596
ENSG00000006042,5187,0.499325236167341
ENSG00000006047,4618,0.585101775660459
ENSG00000006059,1287,0.481740481740482
ENSG00000006062,5852,0.499316473000684
ENSG00000006071,6778,0.484361168486279
ENSG00000006116,3088,0.543717616580311
ENSG00000006118,7271,0.612570485490304
ENSG00000006125,7587,0.462501647555028
ENSG00000006128,1888,0.468220338983051
ENSG00000006194,6945,0.497480201583873
ENSG00000006210,5983,0.556242687614909
ENSG00000006282,5337,0.61663856098932
ENSG00000006283,9709,0.586672159851684
ENSG00000006327,1848,0.641233766233766
ENSG00000006377,3449,0.543925775587127
ENSG00000006432,12386,0.447117713547554
ENSG00000006451,3665,0.447203274215553
ENSG00000006453,4798,0.493122134222593
ENSG00000006459,9430,0.440615058324496
